5.10,(0.741918 0.55449903 0.0)
3.6,(0.6631487 0.5199941 0.0)
2.4,(0.7502913 0.64716995 0.19215007)
1.2,(0.7239372 0.609803 0.18574141)
.5,(0.68681884 0.5719225 0.24282399)
